year;niveau;deleg;codedel;nbetabli;1ann;2ann;3ann;4ann;5ann;6ann;student;class;prep;densite;enf;groupe;enseignant;ref_tn_cod;lat;lon;nom;per nouv 1 ayant ben AP;;per section lettre;per section math;per section science;per section tech;per section info;per section eco;per section sport
2023/2024;Cycle Preparatoire(Tech);Haffouz;8136;1;;;;;;;130;4;;32,5;;;9;TN416;35.63276;9.6783085;E.PREP.TECH.HAFFOUZ;;;;;;;;;
2023/2024;Cycle Preparatoire(Tech);Nasrallah;8146;1;;;;;;;76;4;;19;;;7;TN419;35.3607487;9.8358649;E.PREP.TECHNASRALLAH;;;;;;;;;
2023/2024;Cycle Preparatoire(Tech);Bouhajla;8151;1;;;;;;;142;5;;28,4;;;9;TN41B;35.3937739;10.0499161;E.PREP.TECH  BOUHAJLA;;;;;;;;;
2022/2023;Cycle Preparatoire(Tech);Kairouan Sud;8122;1;;;;;;;198;6;;33;;;21;TN412;35.6651805;10.0956385;E.PREP.TECH.CHARAA FESS;;;;;;;;;
2022/2023;Cycle Preparatoire(Tech);Haffouz;8136;1;;;;;;;134;4;;33,5;;;10;TN416;35.63276;9.6783085;E.PREP.TECH.HAFFOUZ;;;;;;;;;
2022/2023;Cycle Preparatoire(Tech);Nasrallah;8146;1;;;;;;;98;4;;24,5;;;7;TN419;35.3607487;9.8358649;E.PREP.TECHNASRALLAH;;;;;;;;;
2022/2023;Cycle Preparatoire(Tech);Bouhajla;8151;1;;;;;;;159;5;;31,8;;;9;TN41B;35.3937739;10.0499161;E.PREP.TECH  BOUHAJLA;;;;;;;;;
2021/2022;Cycle Preparatoire(Tech);Kairouan Sud;8122;1;;;;;;;223;6;;37,17;;;23;TN412;35.6651805;10.0956385;E.PREP.TECH.CHARAA FESS;;;;;;;;;
2021/2022;Cycle Preparatoire(Tech);Haffouz;8136;1;;;;;;;91;4;;22,75;;;11;TN416;35.63276;9.6783085;E.PREP.TECH.HAFFOUZ;;;;;;;;;
2021/2022;Cycle Preparatoire(Tech);Nasrallah;8146;1;;;;;;;83;4;;20,75;;;8;TN419;35.3607487;9.8358649;E.PREP.TECHNASRALLAH;;;;;;;;;
2021/2022;Cycle Preparatoire(Tech);Bouhajla;8151;1;;;;;;;160;5;;32;;;10;TN41B;35.3937739;10.0499161;E.PREP.TECH  BOUHAJLA;;;;;;;;;
